IDtrap	CCAA
IDTRAP001	GA
IDTRAP002	GA
IDTRAP003	GA
IDTRAP004	GA
IDTRAP005	GA
IDTRAP006	GA
IDTRAP007	GA
IDTRAP008	GA
IDTRAP009	GA
IDTRAP010	GA
IDTRAP011	GA
IDTRAP012	GA
IDTRAP013	GA
IDTRAP014	GA
IDTRAP015	GA
IDTRAP016	GA
IDTRAP017	GA
IDTRAP018	GA
IDTRAP019	GA
IDTRAP020	GA
IDTRAP021	CL
IDTRAP022	GA
IDTRAP023	GA
IDTRAP024	GA
IDTRAP025	GA
IDTRAP026	GA
IDTRAP027	GA
IDTRAP028	CL
IDTRAP029	CL
IDTRAP030	CL
IDTRAP031	CL
IDTRAP032	CL
IDTRAP033	GA
IDTRAP034	GA
IDTRAP035	AS
IDTRAP036	AS
IDTRAP037	GA
IDTRAP038	GA
IDTRAP039	GA
IDTRAP040	GA
IDTRAP041	GA
IDTRAP042	GA
IDTRAP043	GA
IDTRAP044	GA
IDTRAP045	CL
IDTRAP046	CL
IDTRAP047	CL
IDTRAP048	CL
IDTRAP049	CL
IDTRAP050	AS
IDTRAP051	AS
IDTRAP052	AS
IDTRAP053	GA
IDTRAP054	AS
IDTRAP055	AS
IDTRAP056	GA
IDTRAP057	GA
IDTRAP058	GA
IDTRAP059	GA
IDTRAP060	CL
IDTRAP061	CL
IDTRAP062	CL
IDTRAP063	CL
IDTRAP064	AS
IDTRAP065	AS
IDTRAP066	AS
IDTRAP067	GA
IDTRAP068	AS
IDTRAP069	AS
IDTRAP070	AS
IDTRAP071	CL
IDTRAP072	CL
IDTRAP073	CL
IDTRAP074	CL
IDTRAP075	CL
IDTRAP076	AS
IDTRAP077	AS
IDTRAP078	AS
IDTRAP079	AS
IDTRAP080	AS
IDTRAP081	AS
IDTRAP082	AS
IDTRAP083	AS
IDTRAP084	AS
IDTRAP085	CL
IDTRAP086	CL
IDTRAP087	CL
IDTRAP088	CL
IDTRAP089	CL
IDTRAP090	CL
IDTRAP091	AS
IDTRAP092	AS
IDTRAP093	AS
IDTRAP094	AS
IDTRAP095	AS
IDTRAP096	AS
IDTRAP097	AS
IDTRAP098	AS
IDTRAP099	CL
IDTRAP100	CL
IDTRAP101	CL
IDTRAP102	CL
IDTRAP103	CL
IDTRAP104	CL
IDTRAP105	AS
IDTRAP106	AS
IDTRAP107	AS
IDTRAP108	AS
IDTRAP109	AS
IDTRAP110	AS
IDTRAP111	AS
IDTRAP112	CL
IDTRAP113	CL
IDTRAP114	CL
IDTRAP115	CL
IDTRAP116	CL
IDTRAP117	CL
IDTRAP118	CL
IDTRAP119	CL
IDTRAP120	AS
IDTRAP121	AS
IDTRAP122	AS
IDTRAP123	AS
IDTRAP124	AS
IDTRAP125	AS
IDTRAP126	AS
IDTRAP127	AS
IDTRAP128	CL
IDTRAP129	CL
IDTRAP130	CL
IDTRAP131	CL
IDTRAP132	CL
IDTRAP133	CL
IDTRAP134	CL
IDTRAP135	CL
IDTRAP136	AS
IDTRAP137	AS
IDTRAP138	AS
IDTRAP139	AS
IDTRAP140	AS
IDTRAP141	AS
IDTRAP142	AS
IDTRAP143	AS
IDTRAP144	CL
IDTRAP145	CL
IDTRAP146	CL
IDTRAP147	CL
IDTRAP148	CL
IDTRAP149	CL
IDTRAP150	CL
IDTRAP151	CL
IDTRAP152	CL
IDTRAP153	CL
IDTRAP154	CL
IDTRAP155	CL
IDTRAP156	AS
IDTRAP157	AS
IDTRAP158	AS
IDTRAP159	AS
IDTRAP160	AS
IDTRAP161	AS
IDTRAP162	AS
IDTRAP163	AS
IDTRAP164	CL
IDTRAP165	CL
IDTRAP166	CL
IDTRAP167	CL
IDTRAP168	CL
IDTRAP169	CL
IDTRAP170	CL
IDTRAP171	CL
IDTRAP172	CL
IDTRAP173	CL
IDTRAP174	CL
IDTRAP175	AS
IDTRAP176	AS
IDTRAP177	AS
IDTRAP178	CL
IDTRAP179	CL
IDTRAP180	CL
IDTRAP181	CL
IDTRAP182	CL
IDTRAP183	CL
IDTRAP184	CL
IDTRAP185	CL
IDTRAP186	CL
IDTRAP187	CL
IDTRAP188	AS
IDTRAP189	AS
IDTRAP190	AS
IDTRAP191	AS
IDTRAP192	AS
IDTRAP193	CL
IDTRAP194	CL
IDTRAP195	CL
IDTRAP196	CL
IDTRAP197	CL
IDTRAP198	CL
IDTRAP199	CL
IDTRAP200	CL
IDTRAP201	CL
IDTRAP202	CL
IDTRAP203	AS
IDTRAP204	AS
IDTRAP205	AS
IDTRAP206	AS
IDTRAP207	AS
IDTRAP208	AS
IDTRAP209	CL
IDTRAP210	CL
IDTRAP211	CL
IDTRAP212	CL
IDTRAP213	CL
IDTRAP214	CL
IDTRAP215	CL
IDTRAP216	CL
IDTRAP217	CL
IDTRAP218	CL
IDTRAP219	AS
IDTRAP220	AS
IDTRAP221	AS
IDTRAP222	AS
IDTRAP223	AS
IDTRAP224	AS
IDTRAP225	CL
IDTRAP226	CL
IDTRAP227	CL
IDTRAP228	CL
IDTRAP229	CL
IDTRAP230	CL
IDTRAP231	CL
IDTRAP232	CL
IDTRAP233	AS
IDTRAP234	AS
IDTRAP235	AS
IDTRAP236	AS
IDTRAP237	AS
IDTRAP238	AS
IDTRAP239	CL
IDTRAP240	CL
IDTRAP241	CL
IDTRAP242	CL
IDTRAP243	CL
IDTRAP244	CL
IDTRAP245	CL
IDTRAP246	AS
IDTRAP247	AS
IDTRAP248	AS
IDTRAP249	AS
IDTRAP250	AS
IDTRAP251	AS
IDTRAP252	CL
IDTRAP253	CL
IDTRAP254	CL
IDTRAP255	CL
IDTRAP256	CL
IDTRAP257	CL
IDTRAP258	CL
IDTRAP259	CL
IDTRAP260	AS
IDTRAP261	AS
IDTRAP262	AS
IDTRAP263	AS
IDTRAP264	AS
IDTRAP265	AS
IDTRAP266	CL
IDTRAP267	CL
IDTRAP268	CL
IDTRAP269	CL
IDTRAP270	CL
IDTRAP271	CL
IDTRAP272	CL
IDTRAP273	CL
IDTRAP274	CL
IDTRAP275	AS
IDTRAP276	AS
IDTRAP277	AS
IDTRAP278	AS
IDTRAP279	AS
IDTRAP280	AS
IDTRAP281	CL
IDTRAP282	CL
IDTRAP283	CL
IDTRAP284	CL
IDTRAP285	CL
IDTRAP286	CL
IDTRAP287	CL
IDTRAP288	CL
IDTRAP289	CL
IDTRAP290	AS
IDTRAP291	AS
IDTRAP292	AS
IDTRAP293	AS
IDTRAP294	AS
IDTRAP295	AS
IDTRAP296	AS
IDTRAP297	CL
IDTRAP298	CL
IDTRAP299	CL
IDTRAP300	CL
IDTRAP301	CL
IDTRAP302	CL
IDTRAP303	AS
IDTRAP304	AS
IDTRAP305	AS
IDTRAP306	AS
IDTRAP307	AS
IDTRAP308	AS
IDTRAP309	AS
IDTRAP310	AS
IDTRAP311	CL
IDTRAP312	CL
IDTRAP313	CL
IDTRAP314	CL
IDTRAP315	CL
IDTRAP316	AS
IDTRAP317	AS
IDTRAP318	AS
IDTRAP319	AS
IDTRAP320	AS
IDTRAP321	AS
IDTRAP322	AS
IDTRAP323	CL
IDTRAP324	CL
IDTRAP325	CL
IDTRAP326	AS
IDTRAP327	AS
IDTRAP328	CL
IDTRAP329	CL
IDTRAP330	CL
IDTRAP331	CL
IDTRAP332	CL
IDTRAP333	AS
IDTRAP334	AS
IDTRAP335	CL
IDTRAP336	CL
IDTRAP337	AS
IDTRAP338	AS
IDTRAP339	CL
IDTRAP340	CL
IDTRAP341	CL
IDTRAP342	CL
IDTRAP343	AS
IDTRAP344	AS
IDTRAP345	AS
IDTRAP346	CL
IDTRAP347	CL
IDTRAP348	CL
IDTRAP349	CL
IDTRAP350	CL
IDTRAP351	AS
IDTRAP352	AS
IDTRAP353	AS
IDTRAP354	CL
IDTRAP355	CL
IDTRAP356	CL
IDTRAP357	CL
IDTRAP358	CL
IDTRAP359	AS
IDTRAP360	AS
IDTRAP361	AS
IDTRAP362	AS
IDTRAP363	AS
IDTRAP364	CL
IDTRAP365	CL
IDTRAP366	CL
IDTRAP367	CL
IDTRAP368	AS
IDTRAP369	AS
IDTRAP370	AS
IDTRAP371	AS
IDTRAP372	CL
IDTRAP373	CL
IDTRAP374	CL
IDTRAP375	CL
IDTRAP376	CL
IDTRAP377	CL
IDTRAP378	CL
IDTRAP379	CL
IDTRAP380	AS
IDTRAP381	AS
IDTRAP382	AS
IDTRAP383	CL
IDTRAP384	CL
IDTRAP385	CL
IDTRAP386	CL
IDTRAP387	CL
IDTRAP388	AS
IDTRAP389	AS
