ID	Sex
AID1	f
AID10	m
AID11	m
AID12	m
AID13	f
AID14	f
AID15	m
AID16	m
AID17	f
AID18	f
AID19	f
AID2	m
AID20	m
AID21	m
AID22	f
AID23	m
AID25	m
AID26	m
AID27	m
AID28	f
AID29	m
AID3	m
AID30	f
AID31	m
AID32	m
AID33	m
AID34	m
AID35	f
AID36	m
AID37	m
AID38	m
AID4	m
AID40	f
AID41	f
AID43	m
AID44	m
AID45	f
AID46	f
AID47	f
AID48	m
AID49	f
AID5	f
AID50	f
AID51	m
AID53	m
AID54	f
AID55	m
AID56	f
AID57	m
AID58	m
AID59	m
AID6	m
AID60	m
AID61	f
AID62	m
AID63	m
AID64	f
AID65	f
AID66	m
AID67	m
AID68	m
AID7	m
AID71	m
AID72	m
AID74	f
AID76	m
AID8	m
AID9	m
BEATO1	m
CAID1	m
CAID10	f
CAID11	m
CAID12	m
CAID13	f
CAID14	m
CAID15	m
CAID16	m
CAID17	f
CAID18	m
CAID19	f
CAID2	f
CAID20	f
CAID21	f
CAID22	m
CAID23	f
CAID25	f
CAID26	m
CAID28	f
CAID29	m
CAID3	m
CAID31	m
CAID32	f
CAID4	m
CAID5	m
CAID6	m
CAID7	m
CAID8	m
CAID9	m
CYLID1	m
CYLID10	f
CYLID100	m
CYLID101	f
CYLID102	m
CYLID103	m
CYLID107	m
CYLID108	f
CYLID11	f
CYLID110	f
CYLID112	f
CYLID113	m
CYLID114	m
CYLID115	m
CYLID116	m
CYLID117	f
CYLID118	f
CYLID119	m
CYLID12	m
CYLID120	m
CYLID121	f
CYLID122	f
CYLID123	m
CYLID124	m
CYLID125	m
CYLID126	m
CYLID127	f
CYLID128	m
CYLID129	m
CYLID13	m
CYLID130	m
CYLID131	f
CYLID132	f
CYLID133	f
CYLID135	f
CYLID137	m
CYLID138	m
CYLID139	m
CYLID14	m
CYLID140	m
CYLID141	m
CYLID142	m
CYLID143	f
CYLID144	m
CYLID145	m
CYLID146	f
CYLID147	m
CYLID148	f
CYLID149	f
CYLID15	f
CYLID150	f
CYLID151	m
CYLID152	f
CYLID153	f
CYLID154	f
CYLID155	m
CYLID156	m
CYLID157	f
CYLID159	f
CYLID16	m
CYLID162	f
CYLID163	m
CYLID165	m
CYLID167	m
CYLID169	m
CYLID17	m
CYLID170	m
CYLID171	m
CYLID172	m
CYLID173	f
CYLID177	f
CYLID178	f
CYLID18	m
CYLID19	m
CYLID2	f
CYLID20	m
CYLID21	m
CYLID22	f
CYLID23	f
CYLID24	f
CYLID25	f
CYLID26	f
CYLID27	m
CYLID28	m
CYLID29	m
CYLID3	m
CYLID30	m
CYLID31	m
CYLID32	m
CYLID33	m
CYLID34	f
CYLID35	m
CYLID36	m
CYLID37	m
CYLID38	m
CYLID39	m
CYLID4	f
CYLID40	f
CYLID41	f
CYLID42	f
CYLID43	m
CYLID44	f
CYLID45	f
CYLID46	f
CYLID47	f
CYLID48	m
CYLID49	m
CYLID5	f
CYLID50	m
CYLID51	m
CYLID52	f
CYLID53	m
CYLID54	m
CYLID55	m
CYLID56	m
CYLID57	m
CYLID58	m
CYLID59	m
CYLID6	m
CYLID60	m
CYLID61	m
CYLID62	f
CYLID63	m
CYLID64	f
CYLID65	f
CYLID66	m
CYLID67	f
CYLID68	m
CYLID69	m
CYLID7	f
CYLID70	m
CYLID71	m
CYLID72	f
CYLID74	m
CYLID76	m
CYLID79	m
CYLID8	m
CYLID80	m
CYLID81	f
CYLID82	f
CYLID83	f
CYLID84	f
CYLID85	m
CYLID86	m
CYLID87	f
CYLID88	m
CYLID89	f
CYLID9	f
CYLID90	f
CYLID91	f
CYLID92	f
CYLID93	m
CYLID94	m
CYLID96	m
CYLID97	f
CYLID98	m
GAID1	m
GAID2	m
GAID3	m
GAID4	m
