#Session	ID	occasion	trapID
1	AID1	1	TPCL100
1	AID10	1	TPCL100
1	AID11	1	TPCL100
1	AID12	1	TPCL100
1	AID13	1	TPCL100
1	AID14	1	TPCL100
1	AID15	1	TPCL100
1	AID16	1	TPCL100
1	AID17	1	TPCL100
1	AID18	1	TPCL100
1	AID19	1	TPCL100
1	AID2	1	TPCL100
1	AID20	1	TPCL100
1	AID21	1	TPCL100
1	AID22	1	TPCL100
1	AID23	1	TPCL100
1	AID25	1	TPCL100
1	AID26	1	TPCL100
1	AID27	1	TPCL100
1	AID28	1	TPCL100
1	AID29	1	TPCL100
1	AID3	1	TPCL100
1	AID30	1	TPCL100
1	AID31	1	TPCL100
1	AID32	1	TPCL100
1	AID33	1	TPCL100
1	AID34	1	TPCL100
1	AID35	1	TPCL100
1	AID36	1	TPCL100
1	AID37	1	TPCL100
1	AID38	1	TPCL100
1	AID4	1	TPCL100
1	AID40	1	TPCL100
1	AID41	1	TPCL100
1	AID43	1	TPCL100
1	AID44	1	TPCL100
1	AID45	1	TPCL100
1	AID46	1	TPCL100
1	AID47	1	TPCL100
1	AID48	1	TPCL100
1	AID49	1	TPCL100
1	AID5	1	TPCL100
1	AID50	1	TPCL100
1	AID51	1	TPCL100
1	AID53	1	TPCL100
1	AID54	1	TPCL100
1	AID55	1	TPCL100
1	AID56	1	TPCL100
1	AID57	1	TPCL100
1	AID58	1	TPCL100
1	AID59	1	TPCL100
1	AID6	1	TPCL100
1	AID60	1	TPCL100
1	AID61	1	TPCL100
1	AID62	1	TPCL100
1	AID63	1	TPCL100
1	AID64	1	TPCL100
1	AID65	1	TPCL100
1	AID66	1	TPCL100
1	AID67	1	TPCL100
1	AID68	1	TPCL100
1	AID7	1	TPCL100
1	AID71	1	TPCL100
1	AID72	1	TPCL100
1	AID74	1	TPCL100
1	AID76	1	TPCL100
1	AID8	1	TPCL100
1	AID9	1	TPCL100
1	BEATO1	1	TPCL100
1	CAID1	1	TPCL100
1	CAID10	1	TPCL100
1	CAID11	1	TPCL100
1	CAID12	1	TPCL100
1	CAID13	1	TPCL100
1	CAID14	1	TPCL100
1	CAID15	1	TPCL100
1	CAID16	1	TPCL100
1	CAID17	1	TPCL100
1	CAID18	1	TPCL100
1	CAID19	1	TPCL100
1	CAID2	1	TPCL100
1	CAID20	1	TPCL100
1	CAID21	1	TPCL100
1	CAID22	1	TPCL100
1	CAID23	1	TPCL100
1	CAID25	1	TPCL100
1	CAID26	1	TPCL100
1	CAID28	1	TPCL100
1	CAID29	1	TPCL100
1	CAID3	1	TPCL100
1	CAID31	1	TPCL100
1	CAID32	1	TPCL100
1	CAID4	1	TPCL100
1	CAID5	1	TPCL100
1	CAID6	1	TPCL100
1	CAID7	1	TPCL100
1	CAID8	1	TPCL100
1	CAID9	1	TPCL100
1	CYLID1	1	TPCL100
1	CYLID10	1	TPCL100
1	CYLID100	1	TPCL100
1	CYLID101	1	TPCL100
1	CYLID102	1	TPCL100
1	CYLID103	1	TPCL100
1	CYLID107	1	TPCL100
1	CYLID108	1	TPCL100
1	CYLID11	1	TPCL100
1	CYLID110	1	TPCL100
1	CYLID112	1	TPCL322
1	CYLID113	1	TPCL100
1	CYLID114	1	TPCL100
1	CYLID115	1	TPCL100
1	CYLID116	1	TPCL100
1	CYLID117	1	TPCL100
1	CYLID118	1	TPCL100
1	CYLID119	1	TPCL100
1	CYLID12	1	TPCL100
1	CYLID120	1	TPCL100
